country,type,topic,sum,prop
Peru,theme,geology,11.65077148,0.032819075
Uruguay,theme,geology,4.108782454,0.027950901
Venezuela,theme,geology,4.795574386,0.033535485
Argentina,theme,methods,367.8083742,0.217766947
Bahamas,theme,methods,0.101738296,0.101738296
Belize,theme,methods,13.62480081,0.186641107
Bolivia,theme,methods,44.54712175,0.187962539
Brazil,theme,methods,1202.355609,0.213904218
Chile,theme,methods,248.213606,0.232845784
Colombia,theme,methods,76.64505826,0.208274615
Costa.Rica,theme,methods,39.59831287,0.216384223
Cuba,theme,methods,1.417517273,0.354379318
Ecuador,theme,methods,58.95407295,0.215948985
El.Salvador,theme,methods,2.145073228,0.268134153
Guatemala,theme,methods,3.869757816,0.257983854
Honduras,theme,methods,0.883642597,0.294547532
Jamaica,theme,methods,0.333722893,0.333722893
Mexico,theme,methods,476.7327964,0.208727144
Nicaragua,theme,methods,0.391787853,0.391787853
Panama,theme,methods,24.74267663,0.222906997
Paraguay,theme,methods,7.126903138,0.215966762
Peru,theme,methods,80.55205635,0.226907201
Uruguay,theme,methods,32.73201418,0.222666763
Venezuela,theme,methods,27.08104306,0.189377924
Argentina,theme,watershed,17.8369615,0.010560664
Bahamas,theme,watershed,0.001066439,0.001066439
Belize,theme,watershed,0.808893259,0.01108073
Bolivia,theme,watershed,2.88696324,0.012181279
Brazil,theme,watershed,92.35095047,0.01642963
Chile,theme,watershed,18.3924947,0.017253747
Colombia,theme,watershed,5.783089697,0.015714918
Costa.Rica,theme,watershed,6.013880767,0.032862736
Cuba,theme,watershed,0.030583708,0.007645927
Ecuador,theme,watershed,11.87958015,0.043514946
El.Salvador,theme,watershed,0.321412213,0.040176527
Guatemala,theme,watershed,0.246057223,0.016403815
Honduras,theme,watershed,0.053307963,0.017769321
Jamaica,theme,watershed,0.000259707,0.000259707
Mexico,theme,watershed,30.37458369,0.013298855
Nicaragua,theme,watershed,0.00855432,0.00855432
Panama,theme,watershed,5.760950604,0.051900456
Paraguay,theme,watershed,0.379944243,0.011513462
Peru,theme,watershed,6.373621097,0.017953862
Uruguay,theme,watershed,2.558814823,0.017406904
Venezuela,theme,watershed,1.6431956,0.011490878
Argentina,theme,water resources management,69.61637826,0.041217512
Bahamas,theme,water resources management,0.005758771,0.005758771
Belize,theme,water resources management,3.022762521,0.041407706
Bolivia,theme,water resources management,18.11627042,0.07643996
Brazil,theme,water resources management,323.0409263,0.057470366
Chile,theme,water resources management,64.25815656,0.060279697
Colombia,theme,water resources management,29.11312446,0.079111751
Costa.Rica,theme,water resources management,10.54121178,0.05760225
Cuba,theme,water resources management,0.178737421,0.044684355
Ecuador,theme,water resources management,19.6793772,0.072085631
El.Salvador,theme,water resources management,0.281890045,0.035236256
Guatemala,theme,water resources management,0.659182852,0.043945523
Honduras,theme,water resources management,0.031465439,0.01048848
Jamaica,theme,water resources management,0.03895598,0.03895598
Mexico,theme,water resources management,146.3086795,0.064058091
Nicaragua,theme,water resources management,0.018819504,0.018819504
Panama,theme,water resources management,3.281836843,0.029566098
Paraguay,theme,water resources management,2.833118416,0.085852073
Peru,theme,water resources management,24.34651274,0.068581726
Uruguay,theme,water resources management,5.982519706,0.040697413
Venezuela,theme,water resources management,6.120689856,0.042802027
Argentina,theme,oceans,18.91437485,0.011198564
Bahamas,theme,oceans,0.000319932,0.000319932
Belize,theme,oceans,0.769733211,0.010544291
Bolivia,theme,oceans,4.371004558,0.018443057
Brazil,theme,oceans,53.31388928,0.009484769
Chile,theme,oceans,19.80094912,0.018574999
