"funding"
"DEAL"
"RICET"
"UWM"
"International Development Research Centre"
"Colciencias"
"Secretaría de Ciencia y Técnica (SECyT)"
"Crown Research Institute"
"CONICET"
"National Environment and Water scholarship provided by PUB, Singapore’s national water agency"
"NOAA Coastal Ocean Programs"
"Nazca SA."
"Flemish Government, Department Sciences and In- novation/Foreign Policy"
"Companhia Paranaense de Energia (Copel)"
"Third World Academy of Science through the Conselho Nacional de Desenvolvimento Cienti´fico e Tecnolo´gico"
"Deutsche Forschungsgemeinschaft Germany"
"UBACyT (Universidad de Buenos Aires, Cientia y Tecnologia)"
"CONICET (National Council of Scientific and Technological Research)"
"FAPESP foundation"
"CONACYT (Mexican Council for Science and Technology)"
"FAPESP Sao Paulo Research Foundation"
"Smithsonian Institute"
"National Sciences Foundation (NSF)"
"Corporacio´n Auto´noma Regional de Sucre (CARSUCRE)"
"Central Arizona Project, CAP"
"PROPPi/UFF"
"Agencia Nacional de Promocio ´n Cient ´ifica y Tecnolo ´gica"
"Local (authorities of the districts of Vicente Lopez, San Vicente and La Rioja)"
"Brazilian Ministry of Science and Technology (MCT)."
"ESCARSEL ANR"
"Netherlands Foundation for the Advancement of Tropical Research (WOTRO)"
"Universidad Nacional del Comahue"
"Fundacao Botanica Margaret Mee"
"German Research Society"
"Swedmar (Swedish Centre for Coastal Development and Management of Aquatic Resources)"
"National Research Agency"
"Ministerio de Ciencia e Innovación"
"Max Planck Society"
"Ministry of Foreign Affairs of the Netherlands"
"Produce Tamaulipas Foundation of Mexico"
"CONACyT"
"DFG"
"Sao Paulo Research Foundation"
"US State Department"
"Interdisciplinary Research Initiative"
"National Aeronautics and Space Administration"
"Swedish International Development Co-operation AgencyrDepartment for Research Co-operation"
"hydropower"
"Petroleum Research Fund"
"Fondecyt"
"NERC"
"IAEA"
"Program National d’Environnement Côtier"
"USGS"
"Agence National pour la Recherche"
"European Comission"
"Finnish Funding Agency for Technology and Innovation Tekes"
"U.S. Scholar Fulbright Grant"
"CILA"
"CIRM"
"CONICYT"
"INCO/DEV"
"CEC"
"MCP"
"PROMEP"
"TWAS"
"Coordination for the Improvement of Higher Level - or Education - Personnel - CAPES"
"Agricultural Experimental Station of New Mexico State University"
"Ao Conselho Nacional de Desenvolvimento Científico e Tecnológico"
"governments of the Netherlands,"
"Society of Wetland Scientists"
"Facultad de Ciencias, Universidad Nacional Autónoma de México"
"Natural Science and Engineering Research Council of Canada"
"Foundation Supporting Research in Saõ Paulo State"
"JC Engineers, Caracas, Venezuela"
"Conselho Nacional de Desenvolvimento Científico e Tecnalógico"
"POLCAMAR Project"
"Wildlife Conservation Society"
"CNPq-CT-Hidro-CT Agro to ACDB"
"CONICYT Chile project"
"International Development Research Centre of Canada"
"Social Sciences and Humanities Research Council of Canada"
"Conselho National de Desenvolvimento Cientffico"
"European Commission, Environment and Climate Programme"
"Conselho Nacional de Desenvolvimento Científico e Tecnológico"
"MMA/FAO"
"Inter-American Foundation’s International Dissertation Fieldwork Fellowship Program"
"ANPCyT and UNL"
"Conselho Nacional de Desenvol vimento Científico e Tecnológico"
"NASA Land-Cover/Land-Use Change Program"
"National Natural Science Foundation of China"
"Projeto de Apoio ao Desenvolvimento de Tecnologia Agropecuaria para o Brasil"
"Coordination for the Improvement of Higher Education Personnel"
"NSF Long-term Ecological Research (LTER) program"
"Swedish Natural Science Research Council"
"Programa de Recursos Humanos ANP/FINEP/MCT-&#10;CTPETRO, PRH-05 of Universidade Estadual Paulista (UNESP)"
"Universidad Nacional de Mar del Plata"
"Consejo Nacional de Investigaciones Científicas y Técnicas"
"Carolina Foundation of Spain"
"The Robert O. Fehr Professorship from SUNY Purchase"
"Fundação de Amparo à Pesquisa do Estado de São Paulo"
"SWITCH project"
"Hewlett Foundation and MacArthur Founda-"
"Netherlands Organization for Scientific Research"
"Conselho Nacional de Desenvolvimento Cientifico e Tecnologico"
"Caribbean Coral Reef Ecosystem Program (CCRE)"
"FAPERGS"
"University of Buenos Aires, Argentina"
"Alexander von Humboldt Fellowship"
"PELD"
"Brazilian Ministry of Environment"
"Programa de Desarrollo Científico y Tecnológico SENA–COLCIENCIAS"
"ONGAWA"
"Mellon Foundation"
"Dartmouth College"
"Fulbright Hays Faculty Fellowship"
"DT 71–08,"
"UNSAM"
"NSERC"
"Italian Ministry of Foreign Affairs"
"Pontificia Universidad Católica de Chile"
"National & Kapodistrian University of Athens"
"SEP-CONACYT"
"University of Buenos Aires"
"COPAS"
"Universidad de Bogotá Jorge Tadeo Lozano"
"European Community’s Seventh Framework Programme"
"Brazilian Agency of Agricultural Research"
"Corumbá Concessões S/A"
"Empresa Brasileira de Pesquisa Agropecuaria"
"Fondo Mixto CONACYT-Gobierno del estado de Campeche"
"Centro de Excelencia en Geotermia de los Andes, CEGA"
"CIDERH"
"MacArthur Foundation"
"FEMSA"
"DGAPA-UNAM"
"SEREMI Agricultura de Valparaíso"
"Venezuelan National Science Foundation"
"SGCYT"
"Instituto Ambiental do Parana´"
"Comissionat per Universitats i Recerca"
"SABESP"
"Municipality of Turin"
"Finnish Academy"
"National Oceanic and Atmospheric Administration"
"Peixe-Vivo Program of Companhia Energética de Minas Gerais"
"University of California Pacific Rim Research Program"
"NIPR under MEXT, Japan"
"CAPES – “Fundação Coordenação de Aperfeiçoamento de Pessoal dCAPES – “Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior”"
"U.S. National Science Foundation"
"ETH Research Grant CH1-03 08-3."
"California Sea Grant"
"Fondo Sectorial SEMARNAT-CONACYT"
"Lavoisier fellowship of the French Foreign Affairs Ministry"
"Deutsche Bundesministerium für Bildung und Forschung (BMBF)"
"Institute for Public Health and Water Research (IPWR)"
"Instituto Boliviano de Ciencia y Tecnología Nuclear (IBTEN)"
"Synthetic Based Muds Research Group"
"FONDECYT Project 1970250"
"Center for Disease Control and Prevention"
"University of California at Berkeley, Energy Biosciences Institute (EBI) to Lawrence Berkeley National Laboratory"
"Mohamed Bin Zayed Species Conservation Fund"
"ALMA Radio Observatory"
"CNPq, Brazil, Process no. 573Ð601/2008-9"
"Program for Monitoring of the Ecosystem of North of Todos os Santos Bay&#10;"
"Smith College faculty development grants"
"EU-project CENSOR"
"Bill & Melinda Gates Foundation"
"Ministry of Education"
"Netherlands Organisation for Scientific Research"
"National Aeronautics and Space Administration (NASA)"
"Variability of Tropical Climate Fund of the University of Wisconsin Foundation"
"CONDES of La Unversidad de Zulia"
"Texas Institute of Oceanography Fellowship"
"TAMU from MMS"
"Desert Landscape Conservation Cooperative via the U.S. Bureau of Reclamation"
"Consejo Nacional de Investigaciones Cientificas y Tecnicas (CONICET)"
"Support Foundation of the State of Minas Gerais Research (FAPEMIG)"
"Consejo Nacional de Ciencia y Tecnología"
"COFAA "
"CONDES of the University of Zulia"
"The State of São Paulo Research"
"US Department of Energy"
"Grant from the Aysén Regional Government, Chile "
"Lyon­dell Inc."
"NASA Earth Surface and Interior focus area"
"ORFOIS&#10;"
"SARH"
"Minnesota State legislature"
"Knowledge Innovation Program of Chinese Academy of Science"
"IPEF"
"&#10;DFG-funded Sonderforschungsbereich 754 “Climate-Biogeochemistry Interactions in the Tropical Ocean”"
"David and Lucile Packard Foundation"
"International Tropical Timber Organization project RED-PD 045/11 Rev.2 (M)"
"LTRMP"
"CAZA"
"University of Mar del Plata (UNMdP)"
"Rio Grande Basin Initiative"
"FAPESC"
"USAID"
"Southwest Florida Water Management District"
"CEIAR Challenge Program on Water and Food"
"ECOS no. C10U01, the Dirección General de Aguas de Chile"
"National Science Foundation "
"Mexican Council for Science and Technology"
"COSUDE"
"USAID Climate Change Resilient Development (CCRD)"
"Eletrosul- Centrais Elétricas SA"
"BBVA"
"Institute for Research and Development"
"CENPAS"
"International Development Research Centre’s EcoHealth grant program administrated by FioCruz – Brazil"
"US Geological Survey Groundwater Resources Program"
"UC Davis Faculty Research Grants"
"Copener Florestal Ltd."
"EPA-EPSCoR"
"LACEEP"
"NOAA National Marine Fisheries Service"
"MECESUP (PUC 1203)"
"MECESUP 0804"
"Royal Society Overseas Field Research Fund"
"InterAmerican Institute for Global Change"
"Pro Reitoria de Pesquisa"
"Feevale University"
"FAPESB"
"Cooperative Institute for Coastal and Estuarine Environmental Technology (CICEET)"
"Universidad de Concepcio ´n (Chile)"
"(PPBio) - Bioma Campos Sulinos of CNPq"
"FUNASA"
"CONICET PIP 296"
"CNRS-PROOF projects (BIOSOPE and UVECO)"
"Ministerio de Educación y Ciencia"
"PADCT"
"SEMARNAT-CONACYT C01-1125"
"Instituto Nacional de Ciência e Tecnologia em Áreas Úmidas (INAU)"
"Faculty Development Funds"
"U.S. Department of the Interior Bureau of Ocean Energy Management"
"National Oceanic and Atmospheric Administration Coastal Ocean Program"
"US Geological Survey Coastal"
"Keith Campbell Foundation"
"University of Arizona"
"CONACYT-SEMARNAT"
"Programa para el Desarrollo Profesional Docente PRODEP"
"Deutsche Forschungsgemeinschaft (DFG)"
"University of Buenos Aires "
"CENPES – PETROBRAS"
"CONAMA"
"U.S. EPA for Gulf of Mexico Alliance Regional Partnership"
"Secretaría de Educación Pública"
"Conicyt"
"CNPQ"
"by Consejo Nacional de Ciencia y Tecnologia"
"IFAW"
"Louisiana Barrier Island Comprehensive Monitoring Program"
"CNPq/MCT Taim Hydrological System"
"Russian Foundation for Basic Research"
"Comisio ´n Nacional del Medio Ambiente to Universidad Austral de Chile"
"French Hydrological Research National Programme (PNRH)&#10;"
"Institute of Marine Affairs, Trinidad and Tobago"
"NERC Advanced Research Fellowship"
"Deutsche Forschungsgemeinschaft "
"FINEP"
"NSERC Strategic Research Grant"
"Gulf of Mexico Research Institute to the Ecosystem Impacts of Oil & Gas Inputs to the Gulf consortium"
"International Development Research Center "
"CNR/CONICET"
"University of Luxembourg"
"Mote Marine Laboratory’s Protect Our Reefs specialty license plate"
"STIR refinery of Bizerte-Tunisia."
"Federal University of Santa Catarina,"
"State Scholarships Foundation (IKY) of Greek Ministry of Education and Religious Affairs"
"RTD programme of the EU"
"(STINAPA Bonaire National Parks Foundation)"
"Chinese Academy of Sciences Key Project XDB03020100"
"Nacional de Desarrollo Científico y Tecnológico,"
"São Paulo Research Foundation (FAPESP)"
"Northwest Florida Water Management District through Surface Water Improvement Program."
"Brazilian government agencies"
"Santander Bank (Brazil)"
"Nuclear Technology Development Center (CDTN)"
"WWF–Brazil,"
"“Conseil Regional Provence-Alpes-Cote d’Azur,”"
"FNDR Project,"
"Louisiana Sea Grant Program"
"the American Geophysical Union."
"Universidad de Guadalajara"
"US Department of the Interior"
"Swiss National Science Foundation"
"European Union."
"Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq)"
"NSF Ecosystem Program"
"Council for Research and Scientific Development"
"NSF Dynamics of Coupled Natural and Human Systems (CNH) program,"
"FUNCAP"
"U.S. EPA Water and Watershed program"
"Celulosa Arauco & Constitución S.A."
"Texas General Land Office Oil Spill Prevention and Response Division"
"Secretaría de Ciencia y Técnica Universidad de Buenos Aires."
"United States Department of the Interior"
"MCT/CNPq,"
"CONICYT Chile Grant"
"CenSeam"
"“Coordenação de Aperfeiçoamento de Pessoal de Nível Superior”"
"INPE"
"Fundac ¸a ~o de Amparo a` Pesqu-isa de Estado de Sa ~o Paulo"
"Arizona Department of Water Resources"
"Coordenação de Aperfeiçoamento de Pessoal de Nível Superior"
"(CNPq)"
"IEC/FIDESA/MPE-PA"
"German Ministry of Education and Research"
"MAPLU Project"
"Comisión Federal de Electricidad"
"National Council for Scientific and Technological Development-CNPq"
"Conoco-Phillips Latinoamerica"
"Fundación BBVA"
"ANTARES"
"EPSRC"
"(CNPq),"
"INTA"
"JSPS KAKENHI"
"(CNPq)."
"Teresa Lozano Long Institute of Latin American Studies"
"French Direction del’ Environnement, de l’Aménagement et du Logement de Martinique"
"São Paulo Research Foundation"
"Northern Gulf of Mexico Ecosystem Change and Hazard Susceptibility Project."
"Forest and Wildlife Research Center"
"UBA"
"CONICYT FONDAP CRHIAM"
"Conacyt"
"Vrije Universiteit Amsterdam."
"Ministerio de Educación y Cultura, Spain"
"(National Council of Scientific and Technical Research—Argentina)"
"ASCR,"
"Universidade Estadual de Maringá and Nupélia"
"Rufford Small Grant for Nature Conservation"
"National Research Council"
"NOAA-CSCOR"
"French Direction de l’Environnement,"
"Cooperative Research Centre for Catchment Hydrology"
"Petroflex S.A."
"MARBOBA"
"Brazilian Ministry of the Environment"
"UGC-UPE"
"NOAA/NESDIS"
"Government of the Cayman Islands"
"CAPES-COFECUB"
"Hellenic Ministry for the Environment,"
"Mexican Council of Science and Technology"
"U.S. Coast Guard Pollution Removal Funding Authority"
"Instituto de Ciencias,"
"Belgian Science Policy"
"FOMIX- Hidalgo"
"U.S. Army Engineers Waterways Experiment Station"
"CENPES/PetrobraÂs,"
"Graduate Program in Geology and Geochemistry of the Universidade Federal do Para;."
"US-AID SANREM CRSP"
"Fundação de Amparo a Pesquisa do Estado de São Paulo"
"Ocean Biology Processing Group"
"National Basic Research Program of China"
"International Development Research Center"
"Embrapa,"
"Vicerrectoria de Investigacio ´n"
"Fundação de Amparo à Ciência e Tecnologia do Estado de Pernambuco"
"National Institute for Research in the Amazon"
"National Sea Grant College Program of the US Department of Commerce’s National Oceanic and Atmospheric"
"Puerto Rico Department of Natural and Environmental Resources"
"CONICYT/FONDAP 15110020"
"Consejo Nacional de Ciencia y Tecnologfa"
"(UNISINOS)."
"Aarhus University Contemporary Ethnography"
"Challenge Program for Water and Food"
"National Agency for Science and Technology Promotion"
"Secretaria General de Ciencia y Tecnica"
"Vicerrectoría de Investigación Sede Bogotá of the Universidad Nacional de Colombia"
"National Geographic Society,"
"US Agency for International Development (USAID /Mexico)"
"National Oceanic and Atmospheric Administration (U.S)"
"Instituto Colombiano -(COLCIENCIAS)"
"CONICET,"
"WEDSP-TRIF"
"Universidad Autónoma de Baja California (UABC)"
"DFG (German Research Foundation)"
"INCT-TMCOcean project"
"National Science Foundation through the Florida Coastal Everglades Long Term Ecological Research program"
"The Council for Human and Scientific Development at the University of Zulia"
"COL-CIENCIAS,"
"NAPq"
"CISC - CONICET Agreement"
"NRDA for the Deepwater Horizon oil spill"
"CNPq - Brazil"
"AWQC"
"MIUR"
"CTHIDRO"
"French National Agency for Research"
"Sigma-Xi Graduate Research Award"
"MISD"
"CONACyT-UNAM"
"Capes"
"International Copper Association"
"International Office of the BMBF"
"Chilean Agriculture and Livestock Service"
"Center for Latin American Studies"
"Universidad Nacional de La Plata"
"CONICyT"
"BIOTA/FAPESP Program of the Fundacao de Amparo a Pesquisa do Estado de Sao Paulo"
"Fundacao o Boticario de Protecao de Natureza"
"CON-ICET"
"PEDECIBA"
"CCRD"
"University of North Texas Beth Baird Scholarship"
"Natural Enviornment Research Council"
"Office of Biological and Environmental Research of the U.S. Department of Energy Grant"
"Agencia Nacional de Promocion Cientifica y Tecnologica"
"PETROBRAS"
"FONCYT-ANPCyT"
"Italian Ministry for Education, University and Research"
"CONACYT-Mexico"
"IFPRI"
"German Ministry of Research"
"French IRD"
"3M Foundation"
"CONICET, Argentina"
"InterAmerican Foundation"
"SOPRAN"
"CONICET-Argentina"
"Ramsar Small Grants"
"CNPq-Brazil"
"Universidad Catolica del Norte, Chile"
"KAAD"
"SECyT-UNRC"
"Consejo Nacional de Investigaciones Cientificas y Tecnicas of Argentina"
"FORMAS"
"NGS"
"IRD"
"FONCYT"
"Laboratory of Environmental Biogeochemistry"
"CFE"
"Secretaria de Educacion Publica"
"National Council Research and Technology"
"American Chemical Society"
"Danish Research Agency"
"National University of Mexico"
"DFG-Research Center/Excellence Cluster"
"Comision Chilena de Energia Nuclear"
"COLCIENCIAS"
"Russell E. Train Education for Nature"
"Harte Research Institute"
"LOICZ"
"Mexico-US foundation for science"
"LBA program Grant"
"secretaria de ciencia y tecnica"
"Smithsonian Institution's Caribbean Coral Reef Ecosystems program"
"EDF"
"Ictiologia e Aquicultura"
"PNICP-Peru"
"NSERCC"
"PROCAD"
"Scientific Research Commission of the Buenos Aires Province"
"Centro de Ecologia Aplicada"
"University of Miami"
"Center for Ecosystem Research in Patagonia"
"AGRISUS"
"IFS"
"ODEBRECHET"
"Agencia Nacional de Investigacion e innovacion"
"ATS"
"National Council for Scientific and Technological"
"the National Council for&#10;Scientific and Technological Development"
"Center of Biodi-"
"Universidad Catolica del Norte,Chile"
"Canada Research Chair Program"
"Alfred Wcgner Institute"
"Ministry of Environment and Energy in Costa Rica."
"Federal University of Santa Maria"
"Office of Sea Grant Programs of the National Oceanic and Atmospheric Administration"
"FOMIX-Coahuila 62158 project"
"FONDAP-COPAS CENTER"
"US Office of Naval Research"
"UCLA"
"DEPI/IPN"
"Academy of Finland"
"INCTSal"
"DIDUFRO"
"INIA"
"CONICET PIP"
"ITES"
"Fundacion Antorchas"
"Natural Sciences and Engineering Research Council of Canada"
"COLFUTURO"
" CONICET (National Research Council, Argentina)"
"National University of Colombia"
"CIUNPAT-UNPSJB-PROPEVA"
"Geological Society of America Graduate Student Research Grant"
"MoAm Monitoreos Ambientales S.A.S."
"Brazilian National Water Agency (ANA)"
"Local (Autoridad Interjurisdiccional de Cuencas de los Rios Limay)"
"World Wildlife Fund"
"NASA LBA"
"Swedish International De- velopment Authority (SIDA)"
"Fonds pour la Formation à la Recherche dans l’Industrie et dans l'Agriculture"
"Department of Fisheries and Oceans."
"US Forest Service"
"PRODEAGRO"
"life cycle assessment"
"US Geological Survey"
"The Royal Society"
"INCLINE"
"SNPG Research Fellowship"
"MCT"
"FONDAP"
"OAR"
"governments of the Switzerland"
"Botanical Society of America"
"National Research Program, Water Resources, U.S. Geological Survey"
"CNPq National Council for Scientific and Technologic Development, Brazil"
"Caracas, Venezuela"
"Fundação de Amparo à Pesquisa do Estado da Bahia"
"CNPq-INCT-TM Oceano project"
"Wadsworth Endowed Chair in Conservation Science"
"EU REFORLAN Project"
"Costa Rican Soil Science Association"
"Ministry of Agriculture, Nature Management and Fisheries of the Netherlands"
"Universidad Nacional del Litoral"
"NASA Terrestrial Ecology grant"
"National Science Foundation of Shanghai"
"Swedish Research Council for Engineering Sciences"
"Agencia Nacional de Promoción Científica y Tecnológica"
"University of Michigan"
"FAPEMIG "
"Cetacean Society International"
"CNRS (Centre National de la Recherche Scientifique—France)"
"Argentine Agencia Nacional de Promocio´n Argentine Agencia Nacional de Promocio´n"
"COGERH"
"SISBIOTA"
"DIB-UN proyect ‘Estratigrafía, sedimentología y palinología de fase final de la Cuenca Cretácica Colombiana y la conformación de la Cuenca Paleógena’"
"Centre for Cooperation and Development (CCD) of the Universitat Polite`cnica de Catalunya (UPC)"
"CICS"
"Comisión Nacional de Ciencia y Tecnología de Chile"
"New Zealand Foundation for Research Science and Technology"
"Fundacion Natura-Colombia"
"Water Science and Technology chair of Tecnologico de Monterrey"
"Pontifi cia Universidad Católica de Valparaíso"
"FAMEPIG"
"UNNE"
"University of Turin"
"Fortum Foundation"
"National Fisheries Service"
"Pesquisa & Desenvolvimento/Agência Nacional de Energia Elétrica/Companhia Energética de Minas Gerais - P&D ANEEL/CEMIG (GT-487)"
"National Institute of Allergy and Infectious Diseases"
"Mabel Myers Scholarship"
"Department of Geography and of Soil Science of Reading"
"R/V Sonne cruises"
"NSF Northern Gulf Coastal Hazards Collaboratory"
"Conservation International Primate Action Fund&#10;"
"The Mellon Foundation"
"CAPES/WBI"
"Young and Sports"
"Universidad Nacional del Litoral, CAI + D Project"
"Higher Education Personnel Improvement Coordination Foundation (CAPES)&#10;"
"PhD fellowship (JFOC)"
"SEP-DGEST"
"National Council of Technological and Scientific Development (CNPq)"
"CUAHSI Pathfinder Fellowship"
"Bra­zilian Research Coun­cil (CNPq)"
"NSF-Supported Research Coordination Network, Colorado River Delta&#10;"
"Si-WEBS"
"U.S.Geological Survey Cooperative Grant Program&#10;"
"Science Foundation of Nanjing Institute of Geography and Limnology&#10;"
"Brazil Eucalyptus Productivity Project"
"Earl and Ethel Meyers Oceanographic Trust Fund"
"CONACYT- SEMARNAT"
"Darwin Initiative Indesol"
"USDA-Agricultural Research Service via the Arundo Biological Control Program&#10;"
"SNI and COFAA-IPN Fellowships"
"NRCS"
"Wildlife Conservation Commission"
"Robert Bosch Foundation&#10;"
"NOAA Climate Program Office&#10;"
"CIGEO"
"PIO Project-CONICET-UNJU No 14020140100136CO&#10;"
"Sustaining Mountain and Water Livelihoods (SMWL) projects"
"CASAN"
"Fundacao Araucaria (Brazil)"
"FACEPE"
"CICITEM"
"REGEP"
"GEOMA Network"
"Canfornav Inc."
"US Geological Survey California Water Science Center&#10;"
"University Research Expedition Program, UREP"
"Funcap"
"Montana Board of Research and Commercialization Technology&#10;"
"NSF-Ocean Sciences Division-Biological Oceanography"
"Fundacao Araucaria"
"Maurice Hill Research Fund"
"CICEET"
"Woods Hole Oceanographic Institution (USA)"
"Evandro Chagas Institute"
"ANPCyT PICT 32077"
"Region of Provence Alpes Cote d’Azur"
"UPC’s Center for Development Cooperation"
"UNAM-PAPIIT IN2089107-3"
"Summer Research Grant"
"Brazilian Agency of Water "
"UABC, Mexico"
"BOEMRE"
"Universidad Nacional Autónoma de Mexico, Dirección General de Intercambio Académico"
"Marine Geology Program"
"McKnight Foundation"
"Autonomous University of Chapingo AOL-USAID Mexico-USA"
"Chemistry Department of the Autonomous University of Chihuahua"
"Argentine Agencia Nacional de Promocio ´n Cienti ´fica y Tecnolo ´gica"
"IIASA"
"Long-Term Ecological Research Program–PELD–Site 12"
"Government of Nayarit"
"Conservation Leadership Programme"
"Coastal Protection & Restoration Authority/Louisiana SeaGrant Coastal Science Assistantship Program"
"Programa de Po ´s-Graduac ¸a ~o em Ecologia"
"University of Mar del Plata"
"IAI"
"ANA"
"NSERC Discovery Grant"
"NSF Ocean Acidification Grant"
"NOAA-Coral Reef Conservation Program"
"BQU 2002-01348 project."
"National Basic Research Program of China (2013CB956400)"
"Brazilian Nuclear Energy Commission (CNEN)"
"CAPES and CNPq,"
"Chrisar Software Inc."
"ECOS-CONICYT"
"Guangdong Natural Science Foundation"
"UCLA Council on Research"
"Minerals Management Service,"
"FAPEMIG."
"CAPES/PNPD."
"USDA/CREES"
"BP/The Gulf of Mexico Research Initiative"
"Ohio State University’s Climate, Water and Carbon Program"
"National Park Service"
"BIODISEINE Seine Aval project"
"FAPESP, SP, Brazil"
"DER from the Committee for Research and Exploration of the National Geographic Society"
"CSIRO Wealth from Oceans Flagship,"
"Universidade Estadual de Goiás"
"Institute for Global Change"
"Santa Cruz Active Management Area"
"Fundação de Apoio à Pesquisa"
"Evandro Chagas Institute,"
"R&D-Program Geotechnology"
"Long-term Ecological Research Program of Brazil"
"Spanish Ministry of Economy and Competitiveness"
"PROEX/Capes"
"Shell Research Unlimited"
"Mississippi Agricultural and Forestry Experiment Station of Mississippi State University"
"UNL"
"INPA"
"(Ministry of Education, CR)."
"PELD/CNPq"
"Technological development, Brazil"
"MINCyT"
"University of Missouri Research Board"
"Swiss National Science Foundation,"
"REDE"
"Interministerial Commission for Marine Resources"
"UGC-RFSMS"
"NOAA CoastWatch Program."
"Smithsonian Tropical Research Institute"
"EC2CO FIZCAMO"
"Physical Planning and Public Works"
"USGS Energy Resources and Mineral Resources Programs"
"German Academic Exchange Services"
"Universidad Nacional de General Sarimiento"
"CUD-PIC"
"National ScienceFoundation Graduate Fellowship,"
"Collaborative Research Fund of the State Key Laboratory of Water Resources"
"National Nature Sciences Foundation"
"International Center for Tropical Agriculture"
"USP"
"Smithsonian Tropical Research Institute."
"Mississippi-Alabama Sea Grant Consortium"
"European Union (EU)"
"National Scientific and Technical Research Council"
"Asociación Bogotana de Ornitología and BirdLife International."
"Geological Society of America"
"Sustainability of semi-Arid Hydrology and Riparian Areas"
"FIU Graduate School"
"WIMEK"
"CAPES - Brazil"
"SEP-CONACyT 2010"
"Grumman"
"China Scholarship Council"
"Cooperative Research Center for Water Quality and Treatment"
"IAS "
"French INSU national programme"
"Chevron Overseas Petroleum Inc."
"INCT-TA"
"University of Texas Department of Geography "
"NDFL"
"Consejo Nacional de Investigaciones Centificas y Tecnica"
"South Atlantic Climate Change Consortium"
"Potsdam Graduate School of Earth Surface Processes"
"Conselho Nacional de Desenvolvimento Cientifico e Tecnologico"
"SNI-ANII"
"Fulbright Foundation"
"Institute of Ecology and Biodiversity"
"Humboldt University"
"CONICyT-Chile"
"Dow Chemical Company Foundation"
"ExxonMobil"
